Z1AIF?,"Query audio input format: 0=no input, 1=Analog, 2=PCM, 3=Dolby, 4= DSD, 5=DTS, 6=Atmos.
Not all models support all formats (ex: DSD).",Returns Z1AIFxx,
Z1SRT?,Query audio input sampling rate (kHz),"returns Z1SRTxxxxx, 0=analog direct or no input",
Z1ALMyy,"Audio Listening Mode: 00=None, 01=AnthemLogic-Movie, 02=AnthemLogic-Music, 03=PLIIx Movie, 04=PLIIx Music, 05=Neo:6 Cinema, 06=Neo:6 Music, 07=Stereo / All Channels*, 08=All-Channel Mono*, 09=Mono*, 10=Mono-Academy*, 11=Mono(L)*, 12=Mono(R)*, 13=High Blend*, 14=Dolby Surround, 15=Neo:X-Cinema, 16=Neo:X-Music, na=cycle to next applicable, pa=cycle to previous applicable.  *Applicable to 2-channel source only. Some options are not available in all models or under all circumstances. For STR models the options are Stereo, Mono, Both=L, Both=R.",Z1ALM? returns Z1ALMyy,
comment,Trigger commands,,
RxCTLy,"Trigger control. x=trigger # 0=trigger 1, 1=trigger 2, y=0 menu control, y=1 RS-232/IP",RxCTL? Returns RxCTLy,
RxSETy,"Trigger set: x: 0=trigger 1, 1=trigger 2.  y: 0=off, 1=on. Only available if trigger control has been set to RS-232/IP for the specified trigger",RxSET? returns RxSETy,
,,,
Sample Command Strings,,,
"To send a power-on command, send ""Z1POW1;"" using the semi-colon "";"" command separator/terminator.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Notes:,,,
1. Successful serial commands return ';' after the action is completed.,,,
"2. When a recognized command cannot be executed ""!E<OriginalCommand>"" is returned. Ex: trigger control is set to Menu, and ""R1SET1;"" is sent on the serial port, then the system would return ""!ER1SET1<LF>"". Ex2: no tuner preset assigned for preset #03 and ""T1PSL03<LF>"" is sent then the system would return ""!ET1PSL03<LF>""",,,
"3. For MRX/AVM models, out-of-range parameters return the message ""!R<OriginalCommand>"". Ex: 'Z1VOL+50;' would result in a response: '!RZ1VOL+50;'.  For STR models, the nearest valid value is used.",,,
"4. Invalid commands return the message ""!E<OriginalCommand>"". Ex 'HELLO;' would result in a response '!EHELLO;'",,,
"5. Receiving a command for a zone when the zone is off (but the system is not in standby), returns the message ""!Z<OriginalMessage>"".",,,
"6. Ony a few commands are valid when the system is in standby 'IDM?', 'ZxPOWy', 'ZxPOW?'. All other commands are considered 'Invalid'.",,,
7. Maximum command length is 256 bytes including the terminator. Maximum response length is 258 bytes.,,,
8. Average command processing latency must be less than 30 ms.,,,
9. Individual commands have a maximum processing latency of 100 ms.,,,
10. Systems that communicate over RS232 should wait for at least 1 s for a response before retransmission.,,,
"11. To poll continuously, query commands should be around 200ms apart.",,,
,,,
RS-232 Pin Configuration:,,,
2 - Tx,,,
3 - Rx,,,
5 - Ground,,,
,,,
RS-232 Cable:,,,
Straight-wired DB9 is used for PC connection.,,,
,,,
Factory Default Communication Settings:,,,
Baud rate - 115200,,,
Data bits - 8,,,
Parity - None,,,
Stop Bit - 1,,,
Flow Control - None,,,
,,,
Simulated IR Command values for ZxSIMyyyy (use 0 to fill in blanks Ex: Key 10 = 0010),,,
yyyy,Main Zone IR Key,,
10,Power On,,
11,Power Off,,
12,Setup,,
13,Input,,
14,Mode,,
16,Level,,
17,Info,,
18,Up,,
19,Down,,
20,Left,,
21,Right,,
22,Select,,
25,Volume Up,,
26,Volume Down,,
27,Mute Toggle,,
,,,
